grade	Gender	Age	contest	TotalScore	Awards	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25
10	F	15	0	66		C	E	C	B	E	B	D	B	D	B	E	D	D	B	D	A	C	C	C	C	C	C	C	C	C
8	F	13	0	66		C	E	E	B	E	B	A	B	E	C	E	D	A	.	.	D	C	A	.	.	.	.	.	D	.
11	F	16	2	66		C	E	B	E	B	D	C	A	B	D	A	B	C	E	.	A	B	.	.	.	B	.	.	.	.
12	 	17	2	66		C	E	B	E	C	D	B	D	.	A	E	B	E	.	.	.	A	.	.	.	.	.	.	.	.
10	 	15	0	66		C	E	B	B	E	B	D	B	E	D	C	B	A	C	C	.	C	A	.	.	.	.	.	.	.
12	M	17	2	66		C	E	B	E	B	D	.	C	.	E	.	.	.	.	.	.	.	.	B	.	.	.	.	.	.
10	 	15	0	66		C	E	A	B	E	B	D	A	E	C	.	C	.	D	.	B	.	.	.	.	.	.	.	.	.
0	 	0	0	66		C	E	D	B	E	D	D	A	D	B	.	D	C	B	.	.	.	.	.	.	.	.	.	.	.
9	M	14	0	66		C	E	.	B	B	B	D	B	E	B	E	.	A	.	.	.	.	B	.	.	A	.	.	.	.
10	M	15	0	66		C	E	C	B	E	B	D	A	E	B	E	D	A	B	.	A	.	B	.	A	.	.	.	.	.
11	H	16	2	64.5		C	E	B	E	B	A	C	B	.	C	E	.	C	E	D	.	.	.	.	.	D	.	.	.	.
10	F	15	0	64.5		C	E	A	B	.	B	D	B	.	B	.	.	.	.	.	.	.	A	.	.	.	.	.	A	.
9	P	14	0	64.5		C	E	.	B	E	B	D	A	A	B	B	D	E	B	.	.	.	A	.	.	.	.	.	.	.
10	F	15	0	64.5		.	E	.	.	E	B	D	B	E	B	E	.	E	.	B	.	.	.	.	.	.	.	.	.	.
8	F	12	0	64.5		C	E	.	B	.	B	D	.	.	B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
8	M	13	0	64.5		C	E	E	A	E	B	D	C	E	B	E	C	D	.	D	D	A	D	.	E	.	.	.	.	.
9	 	14	0	64.5		C	E	.	B	.	B	.	B	E	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	H	16	2	63		C	E	B	B	B	D	C	C	.	D	E	B	D	A	D	B	A	A	A	.	.	E	.	.	.
11	F	16	2	63		C	E	B	E	B	D	B	E	A	C	B	E	A	C	D	A	D	B	A	.	.	.	.	.	.
10	M	0	0	63		D	E	C	B	B	B	D	A	E	B	E	D	D	B	.	.	.	A	.	.	.	.	.	.	.
9	F	14	0	63		C	E	C	B	E	B	D	C	E	.	.	C	.	.	.	.	.	B	.	.	.	.	.	.	.
9	M	15	0	63		A	E	A	B	E	C	D	B	E	B	.	.	.	.	.	.	.	E	.	.	.	.	.	.	.
9	O	14	0	63		C	E	A	B	B	B	A	B	E	.	E	.	.	.	.	.	.	C	.	.	.	.	.	.	.
10	F	15	0	61.5		C	E	E	B	.	B	D	B	E	B	E	C	A	A	B	E	.	A	.	.	.	.	.	.	.
11	 	16	2	61.5		C	E	B	E	B	A	.	.	.	.	.	.	.	.	.	.	.	A	B	.	.	.	.	.	.
10	F	15	0	61.5		C	E	.	B	E	B	D	A	E	C	B	.	B	.	.	.	.	A	.	.	.	.	.	.	.
12	F	17	2	61.5		C	E	B	E	C	D	B	D	D	.	B	C	C	C	A	A	A	E	A	A	D	A	A	A	A
11	F	16	2	60		C	C	B	B	B	D	B	.	.	.	E	.	.	.	.	.	E	.	.	.	.	.	.	.	.
9	 	14	0	60		C	E	.	D	E	B	D	B	.	.	.	.	E	.	.	.	.	B	.	.	.	.	.	.	.
8	M	13	0	60		C	E	A	B	E	B	D	B	E	C	C	C	C	D	A	A	E	A	C	B	D	E	A	D	C
9	F	14	0	60		C	E	.	B	.	B	D	B	E	C	E	C	.	.	.	B	A	A	.	.	.	.	.	.	.
9	M	14	0	60		.	E	.	B	E	B	D	B	.	.	B	.	E	A	.	.	.	.	.	.	.	.	.	.	.
9	 	14	0	60		C	E	.	B	.	B	D	B	D	.	.	.	A	.	.	.	.	B	.	.	.	.	.	.	.
11	F	15	2	60		C	E	B	E	B	D	A	E	.	C	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	F	16	2	60		C	E	B	E	.	.	B	C	.	C	E	B	.	.	.	.	.	.	.	.	.	.	.	.	.
10	F	15	0	60		C	E	B	B	B	B	D	B	D	B	.	.	.	.	.	.	.	A	.	.	.	.	.	D	B
11	P	16	2	58.5		C	E	B	B	B	D	A	E	B	D	.	C	D	E	B	.	.	D	A	.	D	C	.	.	.
8	M	14	0	58.5		C	E	D	B	E	B	D	D	E	C	E	C	D	A	A	B	B	B	.	C	B	.	.	D	C
10	F	15	0	58.5		A	E	B	B	D	B	D	B	.	C	.	.	C	.	C	.	.	A	.	.	B	.	.	E	.
12	M	17	2	58.5		C	E	B	B	B	D	.	.	.	.	.	D	.	.	.	B	A	.	A	.	.	.	.	.	.
9	P	14	0	58.5		C	E	.	B	B	B	D	.	E	C	.	C	E	.	.	.	.	.	.	.	.	.	.	.	.
9	F	13	0	58.5		E	E	.	.	B	B	D	B	E	B	.	C	E	.	.	.	.	.	.	.	.	.	.	.	.
11	M	16	2	58.5		C	E	B	E	B	D	C	.	.	.	.	.	D	.	.	.	.	A	D	.	.	.	.	.	.
